Ticker,Price,Average Sentiment
FNF,56.43,0.159225
GOOGL,161.335,0.11985588235294117
DVA,149.965,0.12342499999999999
OXY,57.825,0.19291111111111112
CBRE,111.755,0.114615
HEI,240.6,0.11978888888888889
GE,170.025,0.1906375
UNH,580.11,0.13392222222222222
NU,13.885,0.1422421052631579
ADI,223.52,0.2504266666666667
BKNG,3617.495,0.17617499999999997
LILAK,9.795,0.49217999999999995
META,537.0,0.19543125
C,60.635,0.3034833333333333
FERG,210.4,0.13155555555555554
ORLA,3.955,0.12251111111111111
HLT,210.94,0.26886666666666664
CB,273.16,0.1405888888888889
JHG,36.035,0.19992
SPGI,492.59,0.18005
LBTYK,19.365,0.28595
BATRK,42.1701,0.46965
FI,165.29,0.23485
SMAR,48.46,0.16215
AON,331.665,0.24226666666666666
SCHW,64.8,0.26044285714285714
ULTA,367.7724,0.47836451612903225
KMX,80.05,0.41135
HCC,58.83,0.148
GS,499.95,0.1554
WFC,54.49,0.22318
CPNG,22.395,0.296
KKR,120.28,0.23745454545454547
KO,68.66,0.1813625
LSXMK,21.795,0.45809999999999995
CDW,222.34,0.17598
FDX,284.42,0.23388571428571428
VRSN,178.42,0.20373333333333332
CRM,261.3719,0.17049999999999998
ACN,324.7361,0.2909
KHC,34.145,0.26812857142857144
NSIT,205.215,0.3291
HGV,36.57,0.39966666666666667
BN,46.875,0.26908888888888893
USB,42.97,0.10599999999999998
CACC,452.995,0.836
LAD,290.87,0.17357999999999998
LLYVA,38.81,0.5267
GM,44.995,0.27676666666666666
MSFT,419.41,0.2423178571428571
DHR,268.28,0.25978888888888885
WIX,160.65,0.18258749999999999
FIS,78.4,0.14738
CRH,85.38,0.23967999999999998
FWONK,76.87,0.26335
DEO,129.955,0.47887142857142856
AAPL,224.756,0.11327692307692308
MA,467.065,0.148
TRMD,37.465,0.5769333333333334
BBWI,32.725,0.11729999999999999
KR,52.87,0.2250125
ALLY,41.5,0.21812222222222222
V,266.51,0.1909
TMUS,193.5649,0.14691428571428572
LEN,170.79,0.16294
LLYVK,39.6,0.7295499999999999
MRK,112.59,0.21324285714285712
COF,136.58,0.20481666666666665
LSXMA,21.83,0.37517999999999996
LILA,9.765,0.7466999999999999
ELV,539.75,0.12636666666666665
AMZN,176.505,0.30234864864864863
GPI,353.305,0.26886666666666664
AMR,237.0426,0.296
JPM,211.48,0.2445875
ET,15.955,0.2784333333333333
TDG,1272.0,0.16873333333333335
INTU,649.64,0.17942
CHTR,350.53,0.23535714285714285
MDLZ,70.18,0.24813000000000002
NVR,8606.0,0.30321666666666663
PM,117.47,0.44473333333333337
CVNA,151.93,0.20413125
APO,110.66,0.25428333333333336
FICO,1742.9,0.47811578947368427
LOAR,76.4,0.2236142857142857
MCO,467.75,0.16482941176470586
LPX,95.57,0.31246666666666667
JEF,57.39,0.47685
FND,105.03,0.28595
PGR,236.695,0.19553888888888887
ARCH,124.425,0.182975
CMCSA,39.225,0.286
PYPL,67.74,0.31125
